run_stem,sensor_name,target_name,block_label,repeat_index,point_number,score_metric,out_label,ret_label,out_mean_cm,ret_mean_cm,out_score_cm,ret_score_cm,out_std_cm,ret_std_cm,out_valid_fraction,ret_valid_fraction,paired_mean_cm,roundtrip_mismatch_cm,basic_reliable,edge_ok_prev,edge_ok_next,final_reliable
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,1,median,out_p01,ret_p01,25.3262,22.2374,25.3800,22.2100,0.3248,5.5594,0.9600,0.7600,23.7950,3.1700,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,2,median,out_p02,ret_p02,25.4691,16.3610,25.3800,16.5500,0.2317,4.2755,0.9200,0.8400,20.9650,8.8300,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,3,median,out_p03,ret_p03,25.2721,11.9835,25.3800,12.6550,0.2467,1.0877,0.9600,0.8000,19.0175,12.7250,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,4,median,out_p04,ret_p04,25.3045,9.9742,25.4500,10.0700,0.4000,1.3900,0.8800,0.7600,17.7600,15.3800,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,5,median,out_p05,ret_p05,25.1612,9.0824,24.9700,8.9700,1.0975,1.3203,0.9600,0.6800,16.9700,16.0000,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,6,median,out_p06,ret_p06,20.9919,5.4300,21.1700,5.5200,4.3767,0.3470,0.8400,0.2800,13.3450,15.6500,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,7,median,out_p07,ret_p07,17.3305,6.0340,17.6600,4.8600,0.6157,3.0131,0.8400,0.8000,11.2600,12.8000,0,1,0,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,8,median,out_p08,ret_p08,18.2045,8.9656,17.6250,9.3100,3.0301,0.6373,0.8000,0.3600,13.4675,8.3150,0,0,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,9,median,out_p09,ret_p09,13.7145,10.5432,13.9650,11.1000,2.0797,1.8375,0.8800,0.7600,12.5325,2.8650,0,1,1,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,1,median,out_p01,ret_p01,26.0696,14.4992,26.0300,15.4700,0.3084,2.3150,1.0000,1.0000,20.7500,10.5600,0,1,0,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,2,median,out_p02,ret_p02,27.1405,15.0612,27.6000,15.4500,1.1538,2.4349,0.8400,1.0000,21.5250,12.1500,0,0,1,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,3,median,out_p03,ret_p03,25.3508,12.6157,27.3350,12.0700,4.7877,1.5224,0.9600,0.9200,19.7025,15.2650,0,1,1,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,4,median,out_p04,ret_p04,22.0888,12.5307,20.5150,13.1200,4.8340,1.8639,0.3200,0.6000,16.8175,7.3950,0,1,0,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,5,median,out_p05,ret_p05,,9.6886,,9.6200,,1.8404,0.0000,0.8400,,,0,0,0,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,6,median,out_p06,ret_p06,14.4817,7.8292,14.1900,7.6900,2.8609,2.8495,0.7200,0.5200,10.9400,6.5000,0,0,1,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,7,median,out_p07,ret_p07,14.8036,5.6530,14.2200,5.2400,2.6138,1.5836,1.0000,0.9200,9.7300,8.9800,0,1,0,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,8,median,out_p08,ret_p08,12.5728,7.1655,12.7600,7.2800,0.5566,0.5309,1.0000,0.8000,10.0200,5.4800,0,0,0,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,9,median,out_p09,ret_p09,11.6588,8.9380,10.6000,8.2600,4.0909,1.4652,1.0000,1.0000,9.4300,2.3400,0,0,1,0
run_20260313_154531,hcsr04_debug,table_tennis_40mm,pcint_stress,1,1,median,out_p01,ret_p01,26.9892,21.0105,27.1000,25.0000,0.2501,7.7896,1.0000,0.8000,26.0500,2.1000,0,1,1,0
run_20260313_154531,hcsr04_debug,table_tennis_40mm,pcint_stress,1,2,median,out_p02,ret_p02,24.5732,13.6458,25.8600,12.2100,3.6981,2.9456,0.8800,0.7600,19.0350,13.6500,0,1,0,0
run_20260313_154531,hcsr04_debug,table_tennis_40mm,pcint_stress,1,3,median,out_p03,ret_p03,25.8378,10.7032,25.8600,12.5500,0.7380,2.8567,0.9200,0.7600,19.2050,13.3100,0,0,1,0
run_20260313_154531,hcsr04_debug,table_tennis_40mm,pcint_stress,1,4,median,out_p04,ret_p04,25.0916,9.7962,25.0300,9.3100,0.4554,1.4133,0.7600,0.8400,17.1700,15.7200,0,1,0,0
run_20260313_154531,hcsr04_debug,table_tennis_40mm,pcint_stress,1,5,median,out_p05,ret_p05,22.8567,10.2720,24.9700,10.0350,4.0711,1.9356,0.8400,0.8000,17.5025,14.9350,0,0,1,0
run_20260313_154531,hcsr04_debug,table_tennis_40mm,pcint_stress,1,6,median,out_p06,ret_p06,16.9247,6.7348,14.2800,5.6600,4.5502,2.3541,0.6800,0.9200,9.9700,8.6200,0,1,0,0
run_20260313_154531,hcsr04_debug,table_tennis_40mm,pcint_stress,1,7,median,out_p07,ret_p07,20.2096,6.3884,17.3800,5.5200,6.6370,1.9479,0.9200,0.7600,11.4500,11.8600,0,0,1,0
run_20260313_154531,hcsr04_debug,table_tennis_40mm,pcint_stress,1,8,median,out_p08,ret_p08,11.1135,7.8140,10.4850,7.4500,1.6470,1.2435,0.8000,0.8000,8.9675,3.0350,0,1,0,0
run_20260313_154531,hcsr04_debug,table_tennis_40mm,pcint_stress,1,9,median,out_p09,ret_p09,10.7617,9.5654,10.1400,8.7950,2.1669,1.6999,0.9200,0.9600,9.4675,1.3450,0,0,1,0
